Acorn,DateTime,Conso_moy_predict,Date,Acorn_grouped,nb_clients,WeatherHour,visibility,windBearing,temperature,dewPoint,pressure,apparentTemperature,windSpeed,precipType,icon,humidity,summary,temperature_half_hour,is_holiday,hour,minute,half_hour_slot,weekday,is_weekend,month,dayofyear,weekofyear
ACORN-E,2014-01-13 00:00:00,0.26150011967526476,2014-01-13,Affluent,1402,2014-01-13 00:00:00,10.75,221.0,9.72,8.54,1005.2,6.98,5.71,rain,clear-night,0.92,Clear,10.0,0,0,0,0,0,0,1,13,3
ACORN-E,2014-01-13 00:30:00,0.23483795792641077,2014-01-13,Affluent,1402,2014-01-13 00:00:00,10.75,221.0,9.72,8.54,1005.2,6.98,5.71,rain,clear-night,0.92,Clear,9.445,0,0,30,1,0,0,1,13,3
ACORN-E,2014-01-13 01:00:00,0.2101296943075382,2014-01-13,Affluent,1402,2014-01-13 01:00:00,12.17,253.0,8.56,6.14,1006.41,5.36,6.13,rain,clear-night,0.85,Clear,8.89,0,1,0,2,0,0,1,13,3
ACORN-E,2014-01-13 01:30:00,0.182075253313545,2014-01-13,Affluent,1402,2014-01-13 01:00:00,12.17,253.0,8.56,6.14,1006.41,5.36,6.13,rain,clear-night,0.85,Clear,8.055,0,1,30,3,0,0,1,13,3
ACORN-E,2014-01-13 02:00:00,0.16755628387786856,2014-01-13,Affluent,1402,2014-01-13 02:00:00,12.65,243.0,7.18,5.16,1007.32,4.0,5.16,rain,clear-night,0.87,Clear,7.22,0,2,0,4,0,0,1,13,3
ACORN-E,2014-01-13 02:30:00,0.15825704330619358,2014-01-13,Affluent,1402,2014-01-13 02:00:00,12.65,243.0,7.18,5.16,1007.32,4.0,5.16,rain,clear-night,0.87,Clear,6.945,0,2,30,5,0,0,1,13,3
ACORN-E,2014-01-13 03:00:00,0.15233819483012884,2014-01-13,Affluent,1402,2014-01-13 03:00:00,13.39,229.0,6.58,4.63,1007.65,4.01,3.63,rain,clear-night,0.87,Clear,6.67,0,3,0,6,0,0,1,13,3
ACORN-E,2014-01-13 03:30:00,0.14592023115586628,2014-01-13,Affluent,1402,2014-01-13 03:00:00,13.39,229.0,6.58,4.63,1007.65,4.01,3.63,rain,clear-night,0.87,Clear,6.67,0,3,30,7,0,0,1,13,3
ACORN-E,2014-01-13 04:00:00,0.13824921593848383,2014-01-13,Affluent,1402,2014-01-13 04:00:00,14.03,221.0,6.33,4.48,1007.76,3.69,3.67,rain,clear-night,0.88,Clear,6.67,0,4,0,8,0,0,1,13,3
ACORN-E,2014-01-13 04:30:00,0.13665004246548854,2014-01-13,Affluent,1402,2014-01-13 04:00:00,14.03,221.0,6.33,4.48,1007.76,3.69,3.67,rain,clear-night,0.88,Clear,6.39,0,4,30,9,0,0,1,13,3
ACORN-E,2014-01-13 05:00:00,0.13536097605634836,2014-01-13,Affluent,1402,2014-01-13 05:00:00,13.1,220.0,5.96,4.38,1007.77,3.16,3.77,rain,clear-night,0.9,Clear,6.11,0,5,0,10,0,0,1,13,3
ACORN-E,2014-01-13 05:30:00,0.143438144960107,2014-01-13,Affluent,1402,2014-01-13 05:00:00,13.1,220.0,5.96,4.38,1007.77,3.16,3.77,rain,clear-night,0.9,Clear,6.39,0,5,30,11,0,0,1,13,3
ACORN-E,2014-01-13 06:00:00,0.15685331931286647,2014-01-13,Affluent,1402,2014-01-13 06:00:00,14.37,220.0,6.19,4.41,1007.86,3.56,3.57,rain,clear-night,0.88,Clear,6.67,0,6,0,12,0,0,1,13,3
ACORN-E,2014-01-13 06:30:00,0.17781092656909472,2014-01-13,Affluent,1402,2014-01-13 06:00:00,14.37,220.0,6.19,4.41,1007.86,3.56,3.57,rain,clear-night,0.88,Clear,6.115,0,6,30,13,0,0,1,13,3
ACORN-E,2014-01-13 07:00:00,0.19836800348619638,2014-01-13,Affluent,1402,2014-01-13 07:00:00,14.18,216.0,5.48,3.57,1008.14,2.74,3.51,rain,clear-night,0.87,Clear,5.56,0,7,0,14,0,0,1,13,3
ACORN-E,2014-01-13 07:30:00,0.23080310979568036,2014-01-13,Affluent,1402,2014-01-13 07:00:00,14.18,216.0,5.48,3.57,1008.14,2.74,3.51,rain,clear-night,0.87,Clear,5.56,0,7,30,15,0,0,1,13,3
ACORN-E,2014-01-13 08:00:00,0.25396278108134096,2014-01-13,Affluent,1402,2014-01-13 08:00:00,11.88,213.0,5.42,3.77,1008.2,2.68,3.5,rain,partly-cloudy-night,0.89,Partly Cloudy,5.56,0,8,0,16,0,0,1,13,3
